name,gender,birthyear,namegender,usage,pctyb,rich,pctrank,richnum,french,english,biblical,unisex
Joseph,m,1981,['Masculine'],"['English', 'French', 'German', 'Biblical']",0.0165196978635619000,Common,0.70700,0,1,1,1,0
James,m,1981,['Masculine'],"['English', 'Biblical']",0.0205672224587155000,Common,0.75000,0,0,1,1,0
William,m,1981,['Masculine'],['English'],0.0133171074478210000,Common,0.65100,0,0,1,0,0
Antwan,m,1981,['Masculine'],['African American'],0.0001905664762970190,Common,0.09000,0,0,0,0,0
Jason,m,1981,['Masculine'],"['English', 'French', 'Greek Mythology (Anglicized)', 'Biblical']",0.0225099269029941000,Common,0.76600,0,1,1,1,0
Cristina,m,1981,['Feminine'],"['Italian', 'Spanish', 'Portuguese', 'Catalan', 'Romanian']",0.0000064416837058147,Common,0.01100,0,0,0,0,0
Jonathan,m,1981,['Masculine'],"['English', 'French', 'German', 'Swedish', 'Norwegian', 'Danish', 'Dutch', 'Biblical']",0.0121334480668775000,Common,0.62000,0,1,1,1,0
Rodney,m,1981,['Masculine'],['English'],0.0010891813532581700,Common,0.20500,0,0,1,0,0
Clarence,m,1930,['Masculine'],['English'],0.0048657233868126100,Common,0.45100,0,0,1,0,0
Robert,m,1930,['Masculine'],"['English', 'French', 'Swedish', 'Norwegian', 'Danish', 'German', 'Dutch', 'Finnish', 'Estonian', 'Czech', 'Polish', 'Russian', 'Slovene', 'Croatian', 'Albanian', 'Romanian', 'Catalan', 'Germanic']",0.0550235760942123000,Common,0.99300,0,1,1,0,0
Clarence,m,1930,['Masculine'],['English'],0.0048657233868126100,Common,0.45200,0,0,1,0,0
Elmer,m,1930,['Masculine'],['English'],0.0021929397432923600,Common,0.29600,0,0,1,0,0
Willie,m,1930,"['Feminine', 'Masculine']",['English'],0.0059024341011425900,Common,0.48500,0,0,1,0,1
James,m,1930,['Masculine'],"['English', 'Biblical']",0.0477674864147515000,Common,0.95600,0,0,1,1,0
Jose,m,1930,['Masculine'],"['Spanish (Americanized, Filipinized)']",0.0014165133586062900,Common,0.23400,0,0,0,0,0
William,m,1930,['Masculine'],['English'],0.0418491165383246000,Common,0.91500,0,0,1,0,0
Ruby,m,1930,['Feminine'],['English'],0.0000548898926459938,Common,0.05000,0,0,1,0,0
Kenneth,m,1930,['Masculine'],"['Scottish', 'English', 'Swedish', 'Danish', 'Norwegian']",0.0103609098973559000,Common,0.57900,0,0,1,0,0
Julius,m,1930,['Masculine'],"['Ancient Roman', 'English', 'German', 'Finnish', 'Lithuanian', 'Danish', 'Swedish', 'Norwegian', 'Dutch', 'Czech']",0.0007188805294926930,Common,0.16900,0,0,1,0,0
Edward,m,1930,['Masculine'],"['English', 'Polish']",0.0153620873740852000,Common,0.69100,0,0,1,0,0
Robert,m,1930,['Masculine'],"['English', 'French', 'Swedish', 'Norwegian', 'Danish', 'German', 'Dutch', 'Finnish', 'Estonian', 'Czech', 'Polish', 'Russian', 'Slovene', 'Croatian', 'Albanian', 'Romanian', 'Catalan', 'Germanic']",0.0550235760942123000,Common,0.99300,0,1,1,0,0
James,m,1930,['Masculine'],"['English', 'Biblical']",0.0477674864147515000,Common,0.95700,0,0,1,1,0
Jeff,m,1930,['Masculine'],['English'],0.0001567017902958210,Common,0.08400,0,0,1,0,0
George,m,1930,['Masculine'],"['English', 'Romanian']",0.0201711502265536000,Common,0.74600,0,0,1,0,0
Raymond,m,1930,['Masculine'],"['English', 'French']",0.0103697631058471000,Common,0.57900,0,1,1,0,0
Samuel,m,1930,['Masculine'],"['English', 'French', 'German', 'Dutch', 'Spanish', 'Portuguese', 'Polish', 'Czech', 'Slovak', 'Swedish', 'Norwegian', 'Danish', 'Finnish', 'Jewish', 'Biblical']",0.0031269532391233900,Common,0.36400,0,1,1,1,0
Frank,m,1930,['Masculine'],"['English', 'German', 'Dutch', 'Danish', 'Swedish', 'Norwegian', 'French']",0.0110974968438311000,Common,0.59400,0,1,1,0,0
Edward,m,1930,['Masculine'],"['English', 'Polish']",0.0153620873740852000,Common,0.69100,0,0,1,0,0
Robert,m,1930,['Masculine'],"['English', 'French', 'Swedish', 'Norwegian', 'Danish', 'German', 'Dutch', 'Finnish', 'Estonian', 'Czech', 'Polish', 'Russian', 'Slovene', 'Croatian', 'Albanian', 'Romanian', 'Catalan', 'Germanic']",0.0550235760942123000,Common,0.99400,0,1,1,0,0
John,m,1930,['Masculine'],"['English', 'Swedish', 'Danish', 'Norwegian', 'Dutch', 'Biblical']",0.0464279959700194000,Common,0.94700,0,0,1,1,0
Joe,m,1930,['Masculine'],['English'],0.0060865808377614100,Common,0.48900,0,0,1,0,0
Harry,m,1930,['Masculine'],['English'],0.0060626771748349300,Common,0.48800,0,0,1,0,0
Forrest,m,1930,['Masculine'],['English'],0.0004709906917365920,Common,0.13900,0,0,1,0,0
Frank,m,1930,['Masculine'],"['English', 'German', 'Dutch', 'Danish', 'Swedish', 'Norwegian', 'French']",0.0110974968438311000,Common,0.59400,0,1,1,0,0
Eugene,m,1930,['Masculine'],['English'],0.0079926766259360000,Common,0.53700,0,0,1,0,0
Norman,m,1930,['Masculine'],"['English', 'Germanic']",0.0046860032544394400,Common,0.44400,0,0,1,0,0
Limmie,m,1930,[],[],0.0000070825667930315,Common,0.01300,0,0,0,0,0
Raymond,m,1930,['Masculine'],"['English', 'French']",0.0103697631058471000,Common,0.57900,0,1,1,0,0
Harry,m,1925,['Masculine'],['English'],0.0074775932745084400,Common,0.52400,0,0,1,0,0
Elbert,m,1925,['Masculine'],['Dutch'],0.0005844855137914260,Common,0.15400,0,0,0,0,0
Charles,m,1925,['Masculine'],"['English', 'French']",0.0256887028416591000,Common,0.79100,0,1,1,0,0
Coolidge,m,1925,['Masculine'],['English (American)'],0.0000668727853817828,Common,0.05400,0,0,1,0,0
Joe,m,1925,['Masculine'],['English'],0.0053029250330021500,Common,0.46900,0,0,1,0,0
Jack,m,1925,['Masculine'],['English'],0.0104295490863614000,Common,0.58100,0,0,1,0,0
Anthony,m,1925,['Masculine'],['English'],0.0043779962481761900,Common,0.43100,0,0,1,0,0
John,m,1925,['Masculine'],"['English', 'Swedish', 'Danish', 'Norwegian', 'Dutch', 'Biblical']",0.0496769262836100000,Common,0.96400,0,0,1,1,0
Leonard,m,1925,['Masculine'],"['English', 'Dutch', 'German', 'Polish', 'Romanian', 'Germanic']",0.0047462308066421100,Common,0.44800,0,0,1,0,0
Joseph,m,1925,['Masculine'],"['English', 'French', 'German', 'Biblical']",0.0213767109011324000,Common,0.75500,0,1,1,1,0
Jonathan,m,1993,['Masculine'],"['English', 'French', 'German', 'Swedish', 'Norwegian', 'Danish', 'Dutch', 'Biblical']",0.0096589329999583600,Common,0.56900,0,1,1,1,0
Tyler,m,1993,['Masculine'],['English'],0.0144271505639259000,Common,0.66900,0,0,1,0,0
Mohammed,m,1993,['Masculine'],"['Arabic', 'Bengali']",0.0001137826084009330,Common,0.07300,0,0,0,0,0
Jake,m,1993,['Masculine'],['English'],0.0015479276555650300,Common,0.24500,0,0,1,0,0
Jacob,m,1993,['Masculine'],"['English', 'Dutch', 'Swedish', 'Norwegian', 'Danish', 'Jewish', 'Biblical']",0.0133082075510980000,Common,0.65000,0,0,1,1,0
Jose,m,1993,['Masculine'],"['Spanish (Americanized, Filipinized)']",0.0057356118260317100,Common,0.48100,0,0,0,0,0
Stephen,m,1993,['Masculine'],"['English', 'Biblical']",0.0040521134030102500,Common,0.41500,0,0,1,1,0
Patrick,m,1993,['Masculine'],"['Irish', 'English', 'French', 'German', 'Danish', 'Norwegian', 'Swedish']",0.0047720910144663600,Common,0.44900,0,1,1,0,0
